date,Unnamed: 0,jalore,churu,barmer,jaisalmer,ajmer,ganganagar,sikar,bikaner
1901-12-22,1785,0.0,1.2821,1.4078,0.0,1.0345,0.0,0.4386,0.0
1901-12-27,1810,0.0,3.4352,0.0,0.0,0.2112,0.0,1.1247,0.0
1902-01-01,1835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-01-06,1860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-01-11,1885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-01-16,1910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-01-21,1935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-01-26,1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-01-31,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-02-05,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-02-10,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-02-15,2060,0.0,0.4552,0.0,0.0,0.0,0.0,6.0169999999999995,0.0
1902-02-20,2085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-02-25,2110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-03-02,2135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-03-07,2160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-03-12,2185,0.0,0.0,0.0,0.0,0.0,1.6018,0.0,0.0
1902-03-17,2210,0.0,0.0,0.0,0.0,0.0,0.7338,0.0,0.0
1902-03-22,2235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-03-27,2260,0.0,0.0,0.0,0.0,0.0,0.4169,0.0,0.0
1902-04-01,2285,0.5497,0.0,0.0,0.0,0.3379,0.0,0.0,0.0
1902-04-06,2310,0.0,0.0,0.0,0.0,0.549,0.1745,0.0,0.0
1902-04-11,2335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-04-16,2360,0.0,3.43,0.0,0.0,2.1943,0.0,1.3471,0.0
1902-04-21,2385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-04-26,2410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-05-01,2435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-05-06,2460,0.0,4.7287,0.0,0.0,18.1025,0.0,2.2272,0.0
1902-05-11,2485,1.2616999999999998,6.4093,1.9112,10.4296,3.2289,3.067,6.2909,0.9987
1902-05-16,2510,0.0,1.2268,0.0,0.0,0.0,0.0,0.0,0.799
1902-05-21,2535,0.0,0.1769,0.0,0.0,0.0,0.0,1.6424,0.0
1902-05-26,2560,0.0,2.8124,0.0,0.0,0.0,7.9369,7.6762,0.0
1902-05-31,2585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-06-05,2610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-06-10,2635,0.8795,0.0,0.0,0.0,1.6946,2.0087,0.0,0.0
1902-06-15,2660,4.5692,6.9678,40.9426,38.1736,3.1979,0.0,0.0,14.7118
1902-06-20,2685,0.0,48.538399999999996,0.0,7.704,7.5937,42.4594,44.831900000000005,28.0644
1902-06-25,2710,3.0344,12.04,2.905,12.1312,24.2613,3.4928,13.1027,3.7979
1902-06-30,2735,0.1158,14.5368,0.0,0.0,4.8207,3.7547,25.017699999999998,0.0
1902-07-05,2760,2.8096,2.9821,0.4684,2.3132,2.9766,0.0,6.3573,4.294499999999999
1902-07-10,2785,2.6852,7.6556,0.0,3.6404,12.5999,0.0,28.207,0.0
1902-07-15,2810,15.8164,8.1531,0.0,0.0,69.2943,0.9115,9.3534,13.710600000000001
1902-07-20,2835,0.2765,4.1072,0.0,0.0,0.1267,14.7343,2.5826,0.0
1902-07-25,2860,0.1286,1.4558,0.0,0.0,1.49,9.7306,4.800199999999999,5.5928
1902-07-30,2885,5.9856,3.8976,0.9728,0.8466,11.9209,1.904,16.5634,0.0
1902-08-04,2910,0.0,5.2032,0.0,0.0,0.0,12.458,2.7931,0.0
1902-08-09,2935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-08-14,2960,0.0,0.585,0.0,0.0,0.8765,0.0,3.1728,3.5953
1902-08-19,2985,21.9446,1.6399,12.27,9.0864,9.7016,3.7769,3.9055999999999997,0.0
1902-08-24,3010,35.2047,19.2905,5.6198,4.5438,49.0827,7.8999,27.3072,21.7719
1902-08-29,3035,42.272600000000004,0.7211,67.9292,19.9964,28.2504,24.0987,4.370900000000001,10.7251
1902-09-03,3060,23.9801,0.3854,13.8486,2.3964,5.0438,0.0,0.0,0.4994
1902-09-08,3085,0.0,5.1315,0.178,0.0,13.934999999999999,0.3759,0.0,0.0
1902-09-13,3110,23.997700000000002,33.403,0.0,0.0,8.3545,20.587400000000002,13.194099999999999,6.8911999999999995
1902-09-18,3135,58.5404,24.2954,15.6487,18.1175,113.5556,0.0,40.1422,28.4783
1902-09-23,3160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-09-28,3185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-10-03,3210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-10-08,3235,0.0,0.4082,0.0,1.2699,0.0,0.0,1.3159,0.4994
1902-10-13,3260,0.9512,5.3626000000000005,0.0,0.0,0.0,0.0,0.4386,0.0
1902-10-18,3285,0.0,2.5468,0.0,0.0,0.0,1.7121,4.137,1.4981
1902-10-23,3310,0.0,11.4413,0.0,0.0,0.0,0.3731,16.777,1.9974
1902-10-28,3335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-11-02,3360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-11-07,3385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-11-12,3410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-11-17,3435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-11-22,3460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-11-27,3485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-12-02,3510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-12-07,3535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-12-12,3560,0.0,0.0,0.0,0.0,0.0,0.3557,0.0,0.0
1902-12-17,3585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-12-22,3610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902-12-27,3635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-01-01,3660,0.0,0.0,0.0,0.0,0.0,0.2443,0.0,0.0
1903-01-06,3685,0.3357,0.0,0.0,0.0,0.4223,0.0,0.6694,0.0
1903-01-11,3710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-01-16,3735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-01-21,3760,1.9283,6.3151,0.0,0.254,1.0166,0.9636,2.2878,4.2945
1903-01-26,3785,0.0,0.0,0.0,0.0,0.0,0.5358,0.0,0.0
1903-01-31,3810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-02-05,3835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-02-10,3860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-02-15,3885,5.0523,0.2141,0.0,0.8466,2.6355,0.0,0.0,0.0
1903-02-20,3910,0.0,0.1713,0.0,0.0,0.0,0.0,0.0,0.0
1903-02-25,3935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-03-02,3960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-03-07,3985,5.338699999999999,1.7719,5.6112,7.936,1.8488,3.7617,12.189400000000001,0.0
1903-03-12,4010,0.0,0.0,0.9223,0.0,0.0,12.9116,0.0,0.0
1903-03-17,4035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-03-22,4060,0.0,0.0,0.0,0.0,1.5204,1.1728,0.0,0.0
1903-03-27,4085,0.0,0.0,0.0,0.0,0.0,0.7705,0.0,0.0
1903-04-01,4110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-04-06,4135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903-04-11,4160,0.0,0.7074,0.0,0.0,0.0,0.8081,0.0,0.0
1903-04-16,4185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
