,date_time_slot,power_mw
1357,15/04/2023      03:15 - 03:30,1.94
1358,15/04/2023      03:30 - 03:45,2.29
1359,15/04/2023      03:45 - 04:00,2.72
1360,15/04/2023      04:00 - 04:15,4.54
1361,15/04/2023      04:15 - 04:30,4.0
1362,15/04/2023      04:30 - 04:45,4.28
1363,15/04/2023      04:45 - 05:00,4.44
1364,15/04/2023      05:00 - 05:15,6.08
1365,15/04/2023      05:15 - 05:30,5.56
1366,15/04/2023      05:30 - 05:45,4.96
1367,15/04/2023      05:45 - 06:00,6.4
1368,15/04/2023      06:00 - 06:15,6.51
1369,15/04/2023      06:15 - 06:30,6.46
1370,15/04/2023      06:30 - 06:45,8.78
1371,15/04/2023      06:45 - 07:00,11.17
1372,15/04/2023      07:00 - 07:15,12.54
1373,15/04/2023      07:15 - 07:30,14.27
1374,15/04/2023      07:30 - 07:45,14.26
1375,15/04/2023      07:45 - 08:00,12.72
1376,15/04/2023      08:00 - 08:15,8.51
1377,15/04/2023      08:15 - 08:30,5.83
1378,15/04/2023      08:30 - 08:45,2.83
1379,15/04/2023      08:45 - 09:00,1.42
1380,15/04/2023      09:00 - 09:15,1.95
1381,15/04/2023      09:15 - 09:30,2.59
1382,15/04/2023      09:30 - 09:45,3.98
1383,15/04/2023      09:45 - 10:00,5.53
1384,15/04/2023      10:00 - 10:15,4.95
1385,15/04/2023      10:15 - 10:30,3.88
1386,15/04/2023      10:30 - 10:45,4.06
1387,15/04/2023      10:45 - 11:00,3.69
1388,15/04/2023      11:00 - 11:15,3.68
1389,15/04/2023      11:15 - 11:30,3.75
1390,15/04/2023      11:30 - 11:45,2.21
1391,15/04/2023      11:45 - 12:00,1.71
1392,15/04/2023      12:00 - 12:15,1.85
1393,15/04/2023      12:15 - 12:30,2.5
1394,15/04/2023      12:30 - 12:45,2.96
1395,15/04/2023      12:45 - 13:00,3.91
1396,15/04/2023      13:00 - 13:15,4.09
1397,15/04/2023      13:15 - 13:30,5.05
1398,15/04/2023      13:30 - 13:45,5.68
1399,15/04/2023      13:45 - 14:00,6.91
1400,15/04/2023      14:00 - 14:15,7.45
1401,15/04/2023      14:15 - 14:30,6.18
1402,15/04/2023      14:30 - 14:45,7.87
1403,15/04/2023      14:45 - 15:00,4.83
1404,15/04/2023      15:00 - 15:15,4.31
1405,15/04/2023      15:15 - 15:30,8.3
1406,15/04/2023      15:30 - 15:45,5.08
1407,15/04/2023      15:45 - 16:00,4.66
1408,15/04/2023      16:00 - 16:15,7.08
1409,15/04/2023      16:15 - 16:30,7.29
1410,15/04/2023      16:30 - 16:45,9.36
1411,15/04/2023      16:45 - 17:00,6.53
1412,15/04/2023      17:00 - 17:15,6.99
1413,15/04/2023      17:15 - 17:30,6.35
1414,15/04/2023      17:30 - 17:45,12.95
1415,15/04/2023      17:45 - 18:00,19.73
1416,15/04/2023      18:00 - 18:15,24.31
1417,15/04/2023      18:15 - 18:30,40.14
1418,15/04/2023      18:30 - 18:45,41.75
1419,15/04/2023      18:45 - 19:00,36.86
1420,15/04/2023      19:00 - 19:15,30.19
1421,15/04/2023      19:15 - 19:30,28.07
1422,15/04/2023      19:30 - 19:45,26.52
1423,15/04/2023      19:45 - 20:00,23.59
1424,15/04/2023      20:00 - 20:15,27.98
1425,15/04/2023      20:15 - 20:30,30.49
1426,15/04/2023      20:30 - 20:45,31.32
1427,15/04/2023      20:45 - 21:00,28.96
1428,15/04/2023      21:00 - 21:15,25.87
1429,15/04/2023      21:15 - 21:30,20.81
1430,15/04/2023      21:30 - 21:45,15.06
1431,15/04/2023      21:45 - 22:00,13.59
1432,15/04/2023      22:00 - 22:15,13.92
1433,15/04/2023      22:15 - 22:30,14.65
1434,15/04/2023      22:30 - 22:45,13.6
1435,15/04/2023      22:45 - 23:00,12.43
1436,15/04/2023      23:00 - 23:15,10.97
1437,15/04/2023      23:15 - 23:30,10.1
1438,15/04/2023      23:30 - 23:45,6.93
1439,15/04/2023      23:45 - 24:00,6.63
1440,16/04/2023      00:00 - 00:15,7.19
