,date_time_slot,power_mw
889,10/04/2023      06:15 - 06:30,27.95
890,10/04/2023      06:30 - 06:45,26.58
891,10/04/2023      06:45 - 07:00,26.84
892,10/04/2023      07:00 - 07:15,29.76
893,10/04/2023      07:15 - 07:30,30.76
894,10/04/2023      07:30 - 07:45,29.41
895,10/04/2023      07:45 - 08:00,29.0
896,10/04/2023      08:00 - 08:15,23.7
897,10/04/2023      08:15 - 08:30,18.46
898,10/04/2023      08:30 - 08:45,15.7
899,10/04/2023      08:45 - 09:00,11.94
900,10/04/2023      09:00 - 09:15,6.56
901,10/04/2023      09:15 - 09:30,4.73
902,10/04/2023      09:30 - 09:45,6.72
903,10/04/2023      09:45 - 10:00,6.36
904,10/04/2023      10:00 - 10:15,2.51
905,10/04/2023      10:15 - 10:30,2.07
906,10/04/2023      10:30 - 10:45,2.81
907,10/04/2023      10:45 - 11:00,2.03
908,10/04/2023      11:00 - 11:15,1.02
909,10/04/2023      11:15 - 11:30,0.31
910,10/04/2023      11:30 - 11:45,0.15
911,10/04/2023      11:45 - 12:00,0.08
912,10/04/2023      12:00 - 12:15,0.11
913,10/04/2023      12:15 - 12:30,0.17
914,10/04/2023      12:30 - 12:45,0.11
915,10/04/2023      12:45 - 13:00,0.15
916,10/04/2023      13:00 - 13:15,0.21
917,10/04/2023      13:15 - 13:30,0.21
918,10/04/2023      13:30 - 13:45,0.16
919,10/04/2023      13:45 - 14:00,0.15
920,10/04/2023      14:00 - 14:15,0.12
921,10/04/2023      14:15 - 14:30,0.15
922,10/04/2023      14:30 - 14:45,0.19
923,10/04/2023      14:45 - 15:00,0.85
924,10/04/2023      15:00 - 15:15,0.62
925,10/04/2023      15:15 - 15:30,1.06
926,10/04/2023      15:30 - 15:45,2.19
927,10/04/2023      15:45 - 16:00,5.68
928,10/04/2023      16:00 - 16:15,6.28
929,10/04/2023      16:15 - 16:30,6.78
930,10/04/2023      16:30 - 16:45,8.56
931,10/04/2023      16:45 - 17:00,8.38
932,10/04/2023      17:00 - 17:15,10.73
933,10/04/2023      17:15 - 17:30,10.51
934,10/04/2023      17:30 - 17:45,8.78
935,10/04/2023      17:45 - 18:00,5.9
936,10/04/2023      18:00 - 18:15,8.17
937,10/04/2023      18:15 - 18:30,17.21
938,10/04/2023      18:30 - 18:45,26.45
939,10/04/2023      18:45 - 19:00,35.23
940,10/04/2023      19:00 - 19:15,32.78
941,10/04/2023      19:15 - 19:30,37.61
942,10/04/2023      19:30 - 19:45,32.02
943,10/04/2023      19:45 - 20:00,23.53
944,10/04/2023      20:00 - 20:15,18.39
945,10/04/2023      20:15 - 20:30,17.66
946,10/04/2023      20:30 - 20:45,18.44
947,10/04/2023      20:45 - 21:00,16.03
948,10/04/2023      21:00 - 21:15,12.28
949,10/04/2023      21:15 - 21:30,10.26
