date,HULL,OT
2022-03-06 07:45:00.00,0.7349,0.0
2022-03-06 08:00:00.00,0.7786,0.0
2022-03-06 08:15:00.00,0.7349,0.0
2022-03-06 08:30:00.00,0.7801,0.0
2022-03-06 08:45:00.00,0.7232,0.0
2022-03-06 09:00:00.00,0.7907,0.0
2022-03-06 09:15:00.00,0.7466,0.0
2022-03-06 09:30:00.00,0.7967,0.0
2022-03-06 09:45:00.00,0.7550,0.0
2022-03-06 10:00:00.00,0.8057,0.0
2022-03-06 10:15:00.00,0.7802,0.0
2022-03-06 10:30:00.00,0.8208,0.0
2022-03-06 10:45:00.00,0.7936,0.0
2022-03-06 11:00:00.00,0.8313,0.0
2022-03-06 11:15:00.00,0.8171,0.0
2022-03-06 11:30:00.00,0.8524,0.0
2022-03-06 11:45:00.00,0.8406,0.0
2022-03-06 12:00:00.00,0.8690,0.0
2022-03-06 12:15:00.00,0.8658,0.0
2022-03-06 12:30:00.00,0.8946,0.0
2022-03-06 12:45:00.00,0.8859,0.0
2022-03-06 13:00:00.00,0.8946,0.0
2022-03-06 13:15:00.00,0.8909,0.0
2022-03-06 13:30:00.00,0.9051,0.0
2022-03-06 13:45:00.00,0.8993,0.0
2022-03-06 14:00:00.00,0.9081,0.0
2022-03-06 14:30:00.00,0.9127,0.0
2022-03-06 14:45:00.00,0.8993,0.0
2022-03-06 15:00:00.00,0.9127,0.0
2022-03-06 15:15:00.00,0.9027,0.0
2022-03-06 15:30:00.00,0.9111,0.0
2022-03-06 15:45:00.00,0.9077,0.0
2022-03-06 16:00:00.00,0.9127,0.0
2022-03-06 16:15:00.00,0.9228,0.0
2022-03-06 16:30:00.00,0.9202,0.0
2022-03-06 16:45:00.00,0.9279,0.0
2022-03-06 17:00:00.00,0.9277,0.0
2022-03-06 17:15:00.00,0.9228,0.0
2022-03-06 17:45:00.00,0.9446,0.0
2022-03-06 20:00:00.00,0.9488,0.0
2022-03-06 20:15:00.00,0.9581,0.0
2022-03-06 20:30:00.00,0.9458,0.0
2022-03-06 20:45:00.00,0.9631,0.0
2022-03-06 21:00:00.00,0.9488,0.0
2022-03-06 21:15:00.00,0.9631,0.0
2022-03-06 21:30:00.00,0.9428,0.0
2022-03-06 21:45:00.00,0.9614,0.0
2022-03-06 22:00:00.00,0.9488,0.0
