Latitude,Longitude
18.4610103118905,77.2851884637341
18.4217706298243,77.3589636380561
18.4236389634497,77.3022782464055
18.4008122945699,77.2616517882673
18.4008104851038,77.330082012872
18.4024374586573,77.2999079255346
18.3890393821235,77.3980185366409
18.3710589271051,77.2900617999245
18.3828771118812,77.3580480771278
18.389141231205,77.2736863892631
18.3570441611205,77.3808761339606
18.3677586547028,77.3269884101136
18.3633571279349,77.2587278175299
18.3602603528497,77.2370432652018
18.3512903579173,77.3566953354193
18.339397522857,77.3282720435301
18.3250767751034,77.2939632919425
18.3222247776903,77.2321522259219
18.3374377904049,77.2670471885752
18.3170742832194,77.2669089830549
18.3127342596794,77.3491074444213
18.3080476301206,77.3088412866554
18.3025073655178,77.3277615128655
18.2878482724282,77.3644152362862
18.3021136237883,77.4264133397572
18.2980140290123,77.5265710587101
18.2925622484154,77.3947631409815
18.2945968318049,77.2241903850083
18.277213781047,77.2492630501524
18.2945287570702,77.2747913314227
18.2882983251186,77.3021438442199
18.2755799837189,77.2842576740073
18.2890434773953,77.4195321548417
18.2832029982478,77.5165052005748
18.2711350533483,77.5274523607411
18.2765846542913,77.5579824530204
18.2723490930977,77.3258276722327
18.2792474490929,77.2202067442912
18.2765540402887,77.4294825965524
18.2724291067251,77.5894806597264
18.2726662930949,77.185168528773
18.2703017466454,77.389798588984
18.2495139164252,77.4042650537307
18.2696133529843,77.5061250160413
18.2677365362153,77.213619095808
18.263433362295,77.4376978710444
18.2600012423594,77.4906706228987
18.2552166298185,77.2996434419137
18.2346590640663,77.3135878523148
18.2606956096049,77.3633573052881
18.2514226808056,77.5168415248758
18.2524871589258,77.5555905340789
18.2529995468348,77.4142579841796
18.2603791866087,77.4604635561827
18.2473288555199,77.3452678965967
18.2493654604907,77.446871417233
18.2440570043977,77.1813685311205
18.2530211934795,77.2220296500856
18.2396044722639,77.2611835807765
18.2388035740052,77.3689103068375
18.2486281147141,77.4641915647606
18.2472169852825,77.2053405013719
18.2415027765516,77.4812322922671
18.2457941629937,77.1605287438042
18.2384657588073,77.507867190745
18.2177828111463,77.2233442503287
18.2252014837724,77.203273852342
18.2285965137377,77.158124032274
18.2214295880424,77.44475267943
18.2373043555839,77.5486963049234
18.2189932486602,77.5381914837184
18.2163550333449,77.430762107716
18.2228156725209,77.5685285963354
18.2220460639461,77.3473975315835
18.2185155067467,77.3933715324343
18.2197300165826,77.4672484591421
18.2137645091634,77.4168807898377
18.2151773594972,77.4851688867031
18.2150626542485,77.2845993973974
18.2145200048538,77.5034939446026
18.1862621457002,77.1550919182458
18.2039347963472,77.1436306195517
18.2082643092108,77.3222289145326
18.2050829467243,77.1898783195654
18.1999717761606,77.3399152698384
18.2065762163696,77.2543386242095
18.1985756275956,77.372854794605
18.2105292415587,77.2682680314158
18.2100326797523,77.3086425062965
18.2022494939648,77.5363265786629
18.1927381279921,77.238341299762
18.19565465998,77.4581470196996
18.1746450124651,77.1204402116683
18.1841769510491,77.5037508862723
18.1930328535389,77.268337217964
18.1874732041429,77.2837692130673
18.1772071966807,77.3451984853874
18.1918087593379,77.4801247658143
18.175009819373,77.4026167580682
18.1799399720683,77.3052520447559
