date,Unnamed: 0,ajmer,barmer,jodhpur,bikaner,jalor,nagaur,hanumangarh
1970-01-01 00:00:00.019010407,95,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010408,96,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010409,97,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010410,98,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010411,99,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010412,100,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010413,101,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010414,102,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010415,103,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010416,104,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010417,105,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010418,106,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010419,107,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010420,108,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010421,109,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010422,110,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010423,111,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010424,112,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010425,113,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010426,114,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010427,115,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010428,116,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010429,117,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010430,118,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010501,119,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010502,120,0,0,0,0,0,10,0
1970-01-01 00:00:00.019010503,121,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010504,122,0,0,0,0,28,0,0
1970-01-01 00:00:00.019010505,123,51,0,0,0,0,0,0
1970-01-01 00:00:00.019010506,124,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010507,125,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010508,126,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010509,127,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010510,128,0,0,0,0,0,10,0
1970-01-01 00:00:00.019010511,129,0,0,0,0,0,13,0
1970-01-01 00:00:00.019010512,130,64,0,0,216,0,0,0
1970-01-01 00:00:00.019010513,131,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010514,132,0,0,0,15,0,0,0
1970-01-01 00:00:00.019010515,133,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010516,134,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010517,135,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010518,136,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010519,137,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010520,138,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010521,139,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010522,140,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010523,141,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010524,142,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010525,143,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010526,144,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010527,145,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010528,146,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010529,147,0,178,0,0,0,0,0
1970-01-01 00:00:00.019010530,148,0,0,0,0,0,13,0
1970-01-01 00:00:00.019010531,149,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010601,150,0,0,0,0,0,0,0
1970-01-01 00:00:00.019010602,151,183,0,0,3,0,41,0
